,column_name,percent_missing
id,id,0.0
listing_url,listing_url,0.0
scrape_id,scrape_id,0.0
last_scraped,last_scraped,0.0
name,name,0.0
summary,summary,3.98884239888424
space,space,29.483960948396096
description,description,0.0
experiences_offered,experiences_offered,0.0
neighborhood_overview,neighborhood_overview,39.4700139470014
notes,notes,55.09065550906555
transit,transit,35.98326359832636
access,access,41.534170153417016
interaction,interaction,43.34728033472803
house_rules,house_rules,33.249651324965136
thumbnail_url,thumbnail_url,16.708507670850768
medium_url,medium_url,16.708507670850768
picture_url,picture_url,0.0
xl_picture_url,xl_picture_url,16.708507670850768
host_id,host_id,0.0
host_url,host_url,0.0
host_name,host_name,0.0
host_since,host_since,0.0
host_location,host_location,0.3068340306834031
host_about,host_about,36.51324965132496
host_response_time,host_response_time,13.138075313807532
host_response_rate,host_response_rate,13.138075313807532
host_acceptance_rate,host_acceptance_rate,13.138075313807532
host_is_superhost,host_is_superhost,0.0
host_thumbnail_url,host_thumbnail_url,0.0
host_picture_url,host_picture_url,0.0
host_neighbourhood,host_neighbourhood,9.456066945606695
host_listings_count,host_listings_count,0.0
host_total_listings_count,host_total_listings_count,0.0
host_verifications,host_verifications,0.0
host_has_profile_pic,host_has_profile_pic,0.0
host_identity_verified,host_identity_verified,0.0
street,street,0.0
neighbourhood,neighbourhood,15.146443514644352
neighbourhood_cleansed,neighbourhood_cleansed,0.0
neighbourhood_group_cleansed,neighbourhood_group_cleansed,100.0
city,city,0.05578800557880056
state,state,0.0
zipcode,zipcode,1.0599721059972107
market,market,0.3905160390516039
smart_location,smart_location,0.0
country_code,country_code,0.0
country,country,0.0
latitude,latitude,0.0
longitude,longitude,0.0
is_location_exact,is_location_exact,0.0
property_type,property_type,0.08368200836820083
room_type,room_type,0.0
accommodates,accommodates,0.0
bathrooms,bathrooms,0.3905160390516039
bedrooms,bedrooms,0.2789400278940028
beds,beds,0.2510460251046025
bed_type,bed_type,0.0
amenities,amenities,0.0
square_feet,square_feet,98.43793584379358
price,price,0.0
weekly_price,weekly_price,75.11854951185495
monthly_price,monthly_price,75.23012552301255
security_deposit,security_deposit,62.566248256624824
cleaning_fee,cleaning_fee,30.87866108786611
guests_included,guests_included,0.0
extra_people,extra_people,0.0
minimum_nights,minimum_nights,0.0
maximum_nights,maximum_nights,0.0
calendar_updated,calendar_updated,0.0
has_availability,has_availability,100.0
availability_30,availability_30,0.0
availability_60,availability_60,0.0
availability_90,availability_90,0.0
availability_365,availability_365,0.0
calendar_last_scraped,calendar_last_scraped,0.0
number_of_reviews,number_of_reviews,0.0
first_review,first_review,21.08786610878661
last_review,last_review,21.08786610878661
review_scores_rating,review_scores_rating,22.677824267782427
review_scores_accuracy,review_scores_accuracy,22.95676429567643
review_scores_cleanliness,review_scores_cleanliness,22.817294281729428
review_scores_checkin,review_scores_checkin,22.87308228730823
review_scores_communication,review_scores_communication,22.817294281729428
review_scores_location,review_scores_location,22.92887029288703
review_scores_value,review_scores_value,22.900976290097628
requires_license,requires_license,0.0
license,license,100.0
jurisdiction_names,jurisdiction_names,100.0
instant_bookable,instant_bookable,0.0
cancellation_policy,cancellation_policy,0.0
require_guest_profile_picture,require_guest_profile_picture,0.0
require_guest_phone_verification,require_guest_phone_verification,0.0
calculated_host_listings_count,calculated_host_listings_count,0.0
reviews_per_month,reviews_per_month,21.08786610878661
